"set","spatial_stratum","set_type","depth_stratum","date","time","duration","MAJOR","latdb","latmb","londb","lonmb","latde","latme","londe","lonme","begin_depth","end_depth","mean","TRAPS_FISHED","sbe 39","hobo","ctd","cam"
1,"S1","StRS","RD1","Oct  5 ","08:06",1326,"3C        ",48,3.4,126,0.9,48,3.3,126,1.8,302,281,300,25,"x",,,
2,"S1","StRS","RD2","Oct  5 ","09:26",1366,"3C        ",48,1,126,4.4,48,0.8,126,5.3,496,471,472,25,"x",,,
3,"S1","StRS","RD3","Oct  5 ","11:54",1393,"3C        ",48,3.4,126,23.3,48,3.4,126,24.3,1230,1277,1254,25,"x",,,
4,"S1","StRS","RD2","Oct  5 ","13:54",1535,"3C        ",48,6.6,126,13.7,48,6.5,126,14.6,656,695,676,25,"x",,,
5,,"StRS",,"Oct  5 ","15:08",1327,"3C        ",48,8,126,11.6,48,8.1,126,13.9,466,603,529,58,"x","x",,"x"
6,"S1","StRS","RD2","Oct  5 ","16:36",1485,"3C        ",48,2.7,126,16.7,48,2.6,126,17.7,665,687,676,25,"x","x",,"x"
7,"S1","StRS","RD2","Oct  5 ","18:00",1487,"3C        ",48,3.8,126,11.7,48,3.5,126,12.7,479,639,567,25,"x",,,
8,"S1","StRS","RD2","Oct  7 ","08:07",1323,"3C        ",48,6.8,126,17.4,48,6.2,126,17.9,565,700,617,25,"x",,,
9,"S1","StRS","RD3","Oct  7 ","10:23",1345,"3C        ",48,9.8,126,30.9,48,9.7,126,31.8,1012,1035,1025,25,"x",,,
10,"S1","StRS","RD2","Oct  7 ","11:50",1349,"3C        ",48,2,126,29.2,48,1.7,126,30.1,661,669,648,25,"x",,,
11,,"StRS",,"Oct  7 ","13:39",1343,"3C        ",48,5.4,126,31,48,4.7,126,32.9,415,562,479,58,"x","x",,"x"
12,"S1","StRS","RD1","Oct  7 ","15:04",1464,"3C        ",48,6.6,126,31.1,48,6.5,126,32,336,378,355,25,"x","x",,"x"
13,"S1","StRS","RD1","Oct  7 ","16:22",1556,"3C        ",48,6.7,126,27.8,48,6.4,126,28.7,294,315,305,25,"x",,,
14,"S1","StRS","RD1","Oct  7 ","17:53",1578,"3C        ",48,6.3,126,21,48,6.2,126,22.1,306,333,325,25,"x",,,
15,"S1","StRS","RD1","Oct  9 ","08:04",1328,"3C        ",48,7.9,126,32.4,48,7.4,126,33.2,272,414,366,25,"x",,,
16,"S1","StRS","RD3","Oct  9 ","10:35",1381,"3C        ",48,0,126,49.2,48,0,126,50.3,1209,1214,1198,25,"x",,,
17,"S1","StRS","RD3","Oct  9 ","13:06",1355,"3C        ",48,4.4,126,54.9,48,4.3,126,55.9,965,1011,990,25,"x",,,
18,,"StRS",,"Oct  9 ","14:55",1379,"3C        ",48,8.4,126,45,48,8.3,126,47.4,409,530,461,58,"x","x",,"x"
19,"S1","StRS","RD2","Oct  9 ","16:01",1518,"3C        ",48,8.7,126,53.9,48,8.6,126,55.1,775,821,798,25,"x","x",,"x"
20,"S1","StRS","RD2","Oct 11 ","08:02",1329,"3D        ",49,0.6,127,3.6,49,0.5,127,4.6,677,747,708,25,"x",,,
21,,"StRS",,"Oct 11 ","09:31",1620,"3D        ",49,5,127,5.3,49,5,127,7.6,380,538,464,58,"x","x",,"x"
22,"S1","StRS","RD3","Oct 11 ","10:47",1289,"3D        ",49,2,127,8.8,49,1.9,127,9.8,967,1081,1025,25,"x",,,
23,"S1","StRS","RD1","Oct 11 ","12:08",1318,"3D        ",49,6.3,127,4.3,49,6.3,127,5.4,197,213,205,25,"x","x",,"x"
24,"S2","StRS","RD3","Oct 11 ","14:16",1567,"3D        ",49,0.7,127,19.3,49,0.7,127,20.3,1074,1199,1191,25,"x",,,
25,"S2","StRS","RD1","Oct 11 ","16:51",1572,"3D        ",49,3.8,127,16.3,49,4,127,17.4,313,461,401,25,"x",,,
26,"S2","StRS","RD2","Oct 11 ","19:15",1595,"3D        ",49,5,127,35.7,49,4.2,127,36,539,762,670,25,"x",,,
