"TRIP_ID","Set","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Trap 6","Trap 7","Trap 8","Trap 9","Trap 10","Trap 11","Trap 12","Trap 13","Trap 14","Trap 15","Trap 16","Trap 17","Trap 18","Trap 19","Trap 20","Trap 21","Trap 22","Trap 23","Trap 24","Trap 25","Trap 26","Trap 27"
86530,1,"T","D,SD",,"T","A","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","T","D,SD","D","T","A",,"T","D,SD","D,SD","T",,
86530,2,"D","A","T","D,SD","D,SD","T",,"A","T","D","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD",,
86530,3,"A",,"A","D,SD",,"D,SD",,"T","D,SD",,"T","D,SD","A","T","D,SD","A","T",,,"T","A","A","T","A","A",,
86530,4,"T","D,SD","A","T","D,SD","D,SD","T",,"A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","D,SD",,"D,SD","D,SD","D,SD","D,SD","D,SD",,
86530,6,"D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","A",,"D,SD","A","T","D,F","A","T","D,SD","A","T","D,SD","T","D,SD",
86530,7,"T","D,SD","A","T","D,SD","D,SD","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,F","T","D,SD","A,F","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,F",,
86530,8,"D,SD","A,F","T","D,SD","D,SD","T","D,SD","T,F","D,SD","D,F","D,F","T","D,SD","D,SD","D,SD","D,SD","A","T","D,SD","D,F","D,SD","D,SD","D,SD","D,SD","D,SD",,
86530,9,"A","T","D,SD","A","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","T,SD","D,SD",,
86530,10,"T","D,SD","A","D,SD","D,SD","D,SD","T","T,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","A","D,SD","D,SD","D,SD","D,SD","D,SD","T,SD","D,SD",,
86530,12,"D,SD","T","D,SD","A","D,SD","D,SD","D,SD","T","D,SD","D,SD","D,SD","T,SD","D,SD",,"D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","A","D,SD","D,SD","D,SD","D,SD",
