"SET","Total Weight(kg)","Total Count","Recovered Number","Recovered Dead Number","Released","Fork Len Tag Sample Count","Tagged Mean Fork Len(mm)","Fork Len Sample Count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","Weight Sample Count","Sample_count","Proportion Males","Male Mean Fork Len(mm)","Female Mean Fork Len(mm)"
1,724,290,0,0,109,109,609,49,48,48,48,48,49,0.35,575,617
2,915,434,0,0,153,152,577,52,51,51,52,52,52,0.45,563,597
3,484,176,0,0,52,52,625,52,52,52,52,52,52,0.21,627,632
4,930,543,0,0,125,125,546,52,52,52,52,52,52,0.71,549,553
5,0,996,0,0,0,0,,2,2,2,2,2,2,1,575,0
6,699,428,0,0,131,131,536,51,50,50,51,50,51,0.8,532,574
7,1105,520,0,0,121,121,582,51,51,51,51,51,51,0.65,588,593
8,1608,818,0,0,125,125,568,52,52,52,52,52,52,0.71,556,563
9,1170,503,0,0,124,124,600,56,56,56,55,56,56,0.32,576,641
10,1249,741,0,0,123,123,537,57,56,56,57,57,57,0.68,514,552
11,0,1780,0,0,0,0,,1,1,1,1,1,1,1,565,0
12,2296,1154,0,0,121,121,565,55,53,53,54,55,55,0.38,559,602
13,2644,1390,0,0,130,130,567,53,53,53,53,53,53,0.28,540,587
14,2673,1384,0,0,153,153,561,54,53,53,53,53,54,0.47,549,589
15,3817,1957,0,0,118,118,583,123,50,50,50,50,123,0.34,551,589
16,470,136,0,0,47,47,667,50,50,50,50,50,50,0.06,653,663
17,1598,789,0,0,153,153,563,54,54,54,54,54,54,0.5,528,596
18,0,1225,0,0,0,0,,3,4,4,3,3,4,0.5,545,585
19,684,471,0,0,128,127,513,50,50,50,50,50,50,0.56,511,598
20,548,362,0,0,113,113,525,50,50,50,50,50,50,0.66,512,575
21,0,1605,0,0,0,0,,7,8,8,6,8,8,0.75,607,633
22,1630,828,0,0,123,123,577,53,51,51,51,51,53,0.65,546,602
23,1612,687,0,0,146,146,606,54,54,54,54,54,54,0.15,593,601
24,618,214,0,0,66,66,650,48,48,48,48,48,48,0.29,582,652
25,1226,535,0,0,121,121,596,58,56,56,56,56,58,0.34,574,601
26,914,536,0,0,154,154,530,51,51,51,51,51,51,0.82,534,565
27,2535,1024,0,0,160,160,586,54,54,54,54,54,54,0.44,565,644
28,1260,663,0,0,133,133,557,54,54,54,54,54,54,0.61,518,583
29,1352,719,0,0,131,131,567,54,54,54,54,54,54,0.67,553,584
30,0,1307,0,0,0,0,,2,2,2,2,2,2,0.5,580,620
31,1029,509,0,0,125,125,560,53,53,53,53,53,53,0.58,549,593
32,1395,665,0,0,150,150,568,54,54,54,54,54,54,0.65,543,627
33,968,512,0,0,108,108,584,61,52,52,52,52,61,0.23,577,620
34,352,126,0,0,56,56,636,47,47,47,47,47,47,0.36,581,657
35,585,206,0,0,47,47,618,54,54,54,54,54,54,0.26,593,637
36,814,387,0,0,108,108,577,62,56,56,56,56,62,0.55,554,584
37,620,219,0,0,69,69,637,55,55,55,55,55,55,0.25,586,673
38,1360,766,0,0,153,152,554,59,59,59,59,59,59,0.76,541,564
39,168,58,0,0,10,10,679,44,43,43,43,43,44,0.21,574,643
40,61,30,0,0,14,14,563,15,15,15,15,15,15,0.47,554,640
41,352,132,0,0,45,45,620,45,45,45,45,45,45,0.29,583,638
42,333,95,0,0,15,15,680,51,48,48,48,48,51,0.46,665,673
43,649,260,0,0,90,89,612,56,56,55,56,56,56,0.34,618,649
44,1190,517,0,0,117,117,585,54,53,53,53,53,54,0.55,583,618
45,732,298,0,0,96,96,609,72,72,72,72,72,72,0.54,583,612
46,729,262,0,0,103,103,619,53,52,52,51,52,53,0.19,591,650
47,1091,412,0,0,135,135,606,51,51,51,51,51,51,0.25,619,615
48,908,442,0,0,124,123,570,53,53,53,53,53,53,0.66,564,618
49,1558,697,0,0,136,135,589,51,51,51,51,51,51,0.61,573,617
50,2093,1445,0,0,127,127,514,49,49,49,49,49,49,0.71,518,574
51,1851,848,0,0,128,128,584,52,51,51,52,52,52,0.67,591,650
52,635,253,0,0,79,79,601,53,53,53,53,53,53,0.38,582,601
53,248,84,0,0,14,14,608,51,51,51,51,51,51,0.14,614,659
54,475,154,0,0,53,51,635,53,53,53,53,53,53,0.06,578,648
55,1259,530,0,0,129,129,586,53,53,53,53,53,53,0.49,591,628
56,1025,361,0,0,119,119,646,52,52,52,52,52,52,0.6,604,696
57,1471,789,0,0,135,135,567,52,52,52,52,52,52,0.81,555,590
58,116,37,0,0,6,6,604,31,31,31,31,31,31,0.1,565,647
59,465,177,0,0,58,58,643,51,51,51,51,51,51,0.55,608,661
60,332,105,0,0,34,34,631,32,32,32,32,32,32,0.16,611,654
61,1352,650,0,0,126,125,570,53,52,52,48,52,53,0.5,554,571
62,523,184,0,0,32,32,649,52,52,52,52,52,52,0.44,600,693
63,1507,691,0,0,133,133,576,65,64,64,64,64,65,0.3,566,593
64,0,753,0,0,0,0,,0,0,0,,0,0,0,0,0
65,2054,1111,0,0,143,143,547,56,56,56,56,56,56,0.45,553,574
66,2481,1260,0,0,158,158,556,56,56,56,56,56,56,0.61,549,565
67,1304,406,0,0,124,124,635,59,58,58,58,58,59,0.21,620,681
68,1397,482,0,0,123,122,621,51,51,51,51,51,51,0.27,592,659
69,794,326,0,0,89,89,619,51,51,51,51,51,51,0.49,592,631
70,828,401,0,0,132,132,576,50,50,50,50,50,50,0.66,551,610
71,277,90,0,0,42,42,632,44,44,44,44,44,44,0.34,643,682
72,1218,367,0,0,123,122,654,53,53,53,53,53,53,0.45,613,674
73,2474,1154,0,0,124,123,566,54,51,51,52,52,54,0.65,564,582
74,2371,1128,0,0,179,178,572,51,51,51,51,51,51,0.57,575,610
75,365,120,0,0,31,31,642,49,49,49,49,49,49,0.27,626,660
76,2218,1498,0,0,174,174,522,52,52,52,52,52,52,0.71,506,564
77,1681,975,0,0,143,143,544,49,49,49,49,49,49,0.88,524,566
78,543,216,0,0,79,79,601,51,51,51,51,51,51,0.39,599,629
79,1289,485,0,0,123,123,607,53,53,53,49,53,53,0.49,595,598
80,1539,721,0,0,130,130,579,51,51,51,51,51,51,0.63,564,607
81,1044,497,0,0,144,144,579,47,47,47,47,47,47,0.62,559,609
82,5,2,0,0,0,0,,2,2,2,2,2,2,0,0,620
83,1779,811,0,0,121,121,571,53,53,53,53,53,53,0.62,567,582
84,1209,596,0,0,124,124,580,52,52,52,52,52,52,0.65,540,581
85,275,111,0,0,33,32,600,56,55,55,55,55,56,0.35,564,619
86,304,119,0,0,47,47,602,41,40,40,40,40,41,0.45,578,620
87,1142,532,0,0,123,123,598,50,50,50,50,50,50,0.78,556,647
