"Year","Age","Male_Proportion","Female_Proportion","Male_Yr_Total","Female_Yr_Total","m","f","SetType","male_count","female_count"
2003,2,0.011527,0.006896,347,290,0,0,"StRS",4,2
2003,3,0.112391,0.203448,347,290,1,1,"StRS",39,59
2003,4,0.089337,0.137931,347,290,0,0,"StRS",31,40
2003,5,0.100864,0.117241,347,290,0,0,"StRS",35,34
2003,6,0.057636,0.086206,347,290,0,0,"StRS",20,25
2003,7,0.051873,0.068965,347,290,0,0,"StRS",18,20
2003,8,0.034582,0.041379,347,290,0,0,"StRS",12,12
2003,9,0.034582,0.034482,347,290,0,0,"StRS",12,10
2003,10,0.008645,0.020689,347,290,0,0,"StRS",3,6
2003,11,0.025936,0.013793,347,290,0,0,"StRS",9,4
2003,12,0.023054,0.017241,347,290,0,0,"StRS",8,5
2003,13,0.008645,0.017241,347,290,0,0,"StRS",3,5
2003,14,0.008645,0.010344,347,290,0,0,"StRS",3,3
2003,15,0.011527,0.010344,347,290,0,0,"StRS",4,3
2003,17,0.014409,0.006896,347,290,0,0,"StRS",5,2
2003,18,0.005763,0.003448,347,290,0,0,"StRS",2,1
2003,19,0.008645,0.006896,347,290,0,0,"StRS",3,2
2003,20,0.011527,0.010344,347,290,0,0,"StRS",4,3
2003,21,0.008645,0.003448,347,290,0,0,"StRS",3,1
2003,22,0.014409,0.006896,347,290,0,0,"StRS",5,2
2003,23,0.008645,0.003448,347,290,0,0,"StRS",3,1
2003,24,0.008645,0,347,290,0,0,"StRS",3,0
2003,25,0.014409,0,347,290,0,0,"StRS",5,0
2003,26,0.014409,0.006896,347,290,0,0,"StRS",5,2
2003,27,0.011527,0.006896,347,290,0,0,"StRS",4,2
2003,28,0.008645,0.006896,347,290,0,0,"StRS",3,2
2003,29,0.014409,0.003448,347,290,0,0,"StRS",5,1
2003,30,0.002881,0.006896,347,290,0,0,"StRS",1,2
2003,31,0.005763,0,347,290,0,0,"StRS",2,0
2003,32,0.014409,0.003448,347,290,0,0,"StRS",5,1
2003,33,0.014409,0,347,290,0,0,"StRS",5,0
2003,34,0.014409,0.003448,347,290,0,0,"StRS",5,1
2003,35,0.224783,0.134482,347,290,0,0,"StRS",78,39
2004,2,0.00346,0,289,353,0,0,"StRS",1,0
2004,3,0.034602,0.011331,289,353,0,0,"StRS",10,4
2004,4,0.096885,0.201133,289,353,0,1,"StRS",28,71
2004,5,0.110726,0.135977,289,353,1,0,"StRS",32,48
2004,6,0.089965,0.13881,289,353,0,0,"StRS",26,49
2004,7,0.069204,0.070821,289,353,0,0,"StRS",20,25
2004,8,0.041522,0.03966,289,353,0,0,"StRS",12,14
2004,9,0.041522,0.082152,289,353,0,0,"StRS",12,29
2004,10,0.031141,0.016997,289,353,0,0,"StRS",9,6
2004,11,0.01038,0.033994,289,353,0,0,"StRS",3,12
2004,12,0.024221,0.016997,289,353,0,0,"StRS",7,6
2004,13,0.024221,0.01983,289,353,0,0,"StRS",7,7
2004,14,0.020761,0.011331,289,353,0,0,"StRS",6,4
2004,15,0.01038,0.014164,289,353,0,0,"StRS",3,5
2004,16,0.024221,0.014164,289,353,0,0,"StRS",7,5
2004,17,0.01038,0.002832,289,353,0,0,"StRS",3,1
2004,18,0.00692,0.005665,289,353,0,0,"StRS",2,2
2004,19,0.034602,0.008498,289,353,0,0,"StRS",10,3
2004,20,0.01038,0,289,353,0,0,"StRS",3,0
2004,21,0,0.008498,289,353,0,0,"StRS",0,3
2004,22,0.01384,0.008498,289,353,0,0,"StRS",4,3
2004,23,0.027681,0.002832,289,353,0,0,"StRS",8,1
2004,24,0.024221,0.008498,289,353,0,0,"StRS",7,3
2004,25,0.017301,0.014164,289,353,0,0,"StRS",5,5
2004,26,0.027681,0.005665,289,353,0,0,"StRS",8,2
2004,27,0.017301,0.008498,289,353,0,0,"StRS",5,3
2004,28,0.01038,0.008498,289,353,0,0,"StRS",3,3
2004,29,0.00346,0.005665,289,353,0,0,"StRS",1,2
2004,30,0.00346,0.005665,289,353,0,0,"StRS",1,2
2004,31,0.00346,0.008498,289,353,0,0,"StRS",1,3
2004,32,0.01038,0.002832,289,353,0,0,"StRS",3,1
2004,33,0.00346,0.002832,289,353,0,0,"StRS",1,1
2004,34,0.01038,0.005665,289,353,0,0,"StRS",3,2
2004,35,0.131487,0.07932,289,353,0,0,"StRS",38,28
2005,2,0.003205,0,312,319,0,0,"StRS",1,0
2005,3,0.025641,0.009404,312,319,0,0,"StRS",8,3
2005,4,0.032051,0.062695,312,319,0,0,"StRS",10,20
2005,5,0.13141,0.247648,312,319,1,1,"StRS",41,79
2005,6,0.112179,0.112852,312,319,0,0,"StRS",35,36
2005,7,0.105769,0.103448,312,319,0,0,"StRS",33,33
2005,8,0.086538,0.040752,312,319,0,0,"StRS",27,13
2005,9,0.044871,0.031347,312,319,0,0,"StRS",14,10
2005,10,0.041666,0.047021,312,319,0,0,"StRS",13,15
2005,11,0.025641,0.034482,312,319,0,0,"StRS",8,11
2005,12,0.016025,0.012539,312,319,0,0,"StRS",5,4
2005,13,0.003205,0.028213,312,319,0,0,"StRS",1,9
2005,14,0.016025,0.018808,312,319,0,0,"StRS",5,6
2005,15,0.003205,0.009404,312,319,0,0,"StRS",1,3
2005,16,0.009615,0.003134,312,319,0,0,"StRS",3,1
2005,17,0.022435,0.025078,312,319,0,0,"StRS",7,8
2005,18,0.003205,0.018808,312,319,0,0,"StRS",1,6
2005,19,0.009615,0.015673,312,319,0,0,"StRS",3,5
2005,20,0.009615,0,312,319,0,0,"StRS",3,0
2005,21,0.00641,0.003134,312,319,0,0,"StRS",2,1
2005,22,0.01923,0.006269,312,319,0,0,"StRS",6,2
2005,23,0.00641,0.012539,312,319,0,0,"StRS",2,4
2005,24,0.01282,0.006269,312,319,0,0,"StRS",4,2
2005,25,0.00641,0.009404,312,319,0,0,"StRS",2,3
2005,26,0.009615,0.006269,312,319,0,0,"StRS",3,2
2005,27,0.022435,0.009404,312,319,0,0,"StRS",7,3
2005,28,0.009615,0.012539,312,319,0,0,"StRS",3,4
2005,29,0.003205,0.006269,312,319,0,0,"StRS",1,2
