"YEAR","SPECIMEN_SEX_CODE","MATURITY_CODE","Count","MATURITY_NAME","MATURITY_DESC"
2003,2,1,90,"IMMATURE 1","THIN STRING-LIKE =1.5MM THICK MID-SECTION, TRANSLUCENT-WHITE COLOUR"
2003,1,1,403,"IMMATURE 1","VERY THIN STRING-LIKE >1MM THICK, TRANSLUCENT WHITE COLOUR"
2003,1,2,322,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2003,2,2,1312,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2003,2,3,786,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2003,1,3,896,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2003,2,4,2333,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2003,1,4,3416,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2003,2,5,2,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2003,1,5,2,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2003,1,8,1,"RUNNING RIPE","LOBES FULLY DEVELOPED, SPERM IS RELEASED WHEN SLIGHT PRESSURE IS APPLIED TO EXTERNAL POSTERIOR REGION OF BODY CAVITY"
2004,2,1,6,"IMMATURE 1","THIN STRING-LIKE =1.5MM THICK MID-SECTION, TRANSLUCENT-WHITE COLOUR"
2004,1,1,49,"IMMATURE 1","VERY THIN STRING-LIKE >1MM THICK, TRANSLUCENT WHITE COLOUR"
2004,1,2,90,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2004,2,2,249,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2004,2,3,147,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2004,1,3,74,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2004,2,4,1283,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2004,1,4,1176,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2004,2,5,23,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2004,1,5,141,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2004,2,7,1,"RIPE2","GONAD FULL SIZE, >50% OF BODY CAVITY BUT AT LEAST 50% OF EGGS HAVE BECOME TRANSLUCENT"
2004,1,9,1,"SPENT","LOBES OR FOLDS ARE BLOODSHOT, SOME SPERM MAY BE PRESENT WHEN MODERATE PRESSURE IS APPLIED TO EXTERNAL POSTERIOR REGION OF BODY CAVITY"
2004,2,9,1,"SPENT","GONAD IS RED-PURPLE IN COLOUR, RESIDUAL EGGS MAY BE PRESENT, OUTER WALL OF GONAD FLACCID"
2004,2,10,3,"RESORBING","EGGS PRESENT BUT DID NOT FUNCTION NORMALLY (NOT NORMAL)"
2004,2,11,9,"RECOVERING","STILL SOME RED PURPLE COLOUR, NOT FLACCID, WHITISH SHEEN TO EXTERIOR SURFACE"
2004,1,11,19,"RECOVERING","LOBES FLAT, BROWN IN COLOUR, BLOODSHOT APPEARANCE ON EDGES AND ENDS OF LOBES"
2005,1,1,1,"IMMATURE 1","VERY THIN STRING-LIKE >1MM THICK, TRANSLUCENT WHITE COLOUR"
2005,1,2,153,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2005,2,2,268,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2005,1,3,133,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2005,2,3,293,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2005,1,4,1164,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2005,2,4,1137,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2005,1,5,67,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2005,2,6,1,"RIPE1","GONAD FULL SIZE, >50% OF BODY CAVITY BUT AT LEAST 25% OF EGGS HAVE BECOME TRANSLUCENT"
2005,1,12,2,"RESTING","FIRM, LIGHT BROWN COLOUR, WRINKLES ON SURFACE"
2005,2,12,19,"RESTING","SMOOTH ELONGATED AND ROUND IN SHAPE, BROWN PURPLE PULP INTERIOR, EXTERIOR SURFACE HAS WHITISH SHEEN"
2006,1,2,120,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2006,2,2,169,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2006,1,3,634,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2006,2,3,1055,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2006,1,4,1154,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2006,2,4,607,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2006,2,5,11,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2006,1,5,314,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2006,2,6,1,"RIPE1","GONAD FULL SIZE, >50% OF BODY CAVITY BUT AT LEAST 25% OF EGGS HAVE BECOME TRANSLUCENT"
2006,2,10,1,"RESORBING","EGGS PRESENT BUT DID NOT FUNCTION NORMALLY (NOT NORMAL)"
2006,1,12,15,"RESTING","FIRM, LIGHT BROWN COLOUR, WRINKLES ON SURFACE"
2006,2,12,57,"RESTING","SMOOTH ELONGATED AND ROUND IN SHAPE, BROWN PURPLE PULP INTERIOR, EXTERIOR SURFACE HAS WHITISH SHEEN"
2007,1,1,2,"IMMATURE 1","VERY THIN STRING-LIKE >1MM THICK, TRANSLUCENT WHITE COLOUR"
2007,1,2,38,"IMMATURE 2","THIN STRING-LIKE 3MM THICK, EXTENDS LENGTH OF BODY CAVITY, WHITE-TRANSLUCENT COLOUR"
2007,2,2,65,"IMMATURE 2","THICKED >5MM, DOES NOT EXTEND LENGTH OF BODY CAVITY, SOME FOLDS SAUSAGE-LIKE, TRANSLUCENT-WHITE COLOUR"
2007,1,3,238,"RIPENING 1","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE, =20% OF BODY CAVITY"
2007,2,3,374,"RIPENING 1","EGGS PRESENT, WHITE OPAQUE COLOUR, ENCASED IN TRANSLUCENT SOCK, <25% OF BODY CAVITY"
2007,1,4,1713,"RIPENING 2","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WITH BLOOD VESSELS PRESENT ON SURFACE, >30% OF BODY CAVITY"
2007,2,4,1261,"RIPENING 2","EGGS LARGER =1MM DIAMETER, WHITE IN COLOUR, BLOOD VESSELS PRESENT ON SURFACE, >25% OF BODY CAVITY"
2007,2,5,2,"RIPE","EGGS AT LEAST 1MM DIAMETER, WHITE IN COLOUR, GONAD FULL SIZE, >50% OF BODY CAVITY"
2007,1,5,107,"RIPE","THICK >10MMM, VISIBLE FOLDS, WHITE SMOOTH TEXTURE WIITH BLOOD VESSELS PRESENT ON SURFACE, FOLDS DELICATE, SOME SPERM MAY FLOW, >40% OF BODY CAVITY"
2007,2,6,1,"RIPE1","GONAD FULL SIZE, >50% OF BODY CAVITY BUT AT LEAST 25% OF EGGS HAVE BECOME TRANSLUCENT"
2007,2,7,3,"RIPE2","GONAD FULL SIZE, >50% OF BODY CAVITY BUT AT LEAST 50% OF EGGS HAVE BECOME TRANSLUCENT"
2007,1,9,3,"SPENT","LOBES OR FOLDS ARE BLOODSHOT, SOME SPERM MAY BE PRESENT WHEN MODERATE PRESSURE IS APPLIED TO EXTERNAL POSTERIOR REGION OF BODY CAVITY"
2007,2,9,2,"SPENT","GONAD IS RED-PURPLE IN COLOUR, RESIDUAL EGGS MAY BE PRESENT, OUTER WALL OF GONAD FLACCID"
2007,2,10,4,"RESORBING","EGGS PRESENT BUT DID NOT FUNCTION NORMALLY (NOT NORMAL)"
2007,2,11,3,"RECOVERING","STILL SOME RED PURPLE COLOUR, NOT FLACCID, WHITISH SHEEN TO EXTERIOR SURFACE"
