"orderfield","Summary_sp","Year","TRIP_ID","Common_Name","Scientific_Name","Total_Count","Total_weight","SABLE_SET_TYPE"
5,"Roundfish Species",2022,86530,"Sablefish","ANOPLOPOMA FIMBRIA",,95661,"StRS"
5,"Roundfish Species",2022,86530,"Lingcod","OPHIODON ELONGATUS",,1242,"StRS"
5,"Roundfish Species",2022,86530,"Spiny dogfish","SQUALUS ACANTHIAS",,1214,"StRS"
5,"Roundfish Species",2022,86530,"Pacific grenadier","CORYPHAENOIDES ACROLEPIS",,220,"StRS"
5,"Roundfish Species",2022,86530,"Pectoral rattail","ALBATROSSIA PECTORALIS",,179,"StRS"
5,"Roundfish Species",2022,86530,"Pacific sleeper shark","SOMNIOSUS PACIFICUS",,7,"StRS"
5,"Roundfish Species",2022,86530,"Pacific cod","GADUS MACROCEPHALUS",,5,"StRS"
5,"Roundfish Species",2022,86530,"Brown cat shark","APRISTURUS BRUNNEUS",,1,"StRS"
5,"Roundfish Species",2022,86530,"Darkfin sculpin","MALACOCOTTUS ZONURUS",1,,"StRS"
5,"Roundfish Species",2022,86530,"Threadfin sculpin","ICELINUS FILAMENTOSUS",1,,"StRS"
4,"Rockfish Species",2022,86530,"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",,390,"StRS"
4,"Rockfish Species",2022,86530,"Redbanded rockfish","SEBASTES BABCOCKI",,228,"StRS"
4,"Rockfish Species",2022,86530,"Yelloweye rockfish","SEBASTES RUBERRIMUS",,209,"StRS"
4,"Rockfish Species",2022,86530,"Shortraker rockfish","SEBASTES BOREALIS",,158,"StRS"
4,"Rockfish Species",2022,86530,"Shortspine thornyhead","SEBASTOLOBUS ALASCANUS",,81,"StRS"
4,"Rockfish Species",2022,86530,"Yellowmouth rockfish","SEBASTES REEDI",,10,"StRS"
4,"Rockfish Species",2022,86530,"Canary rockfish","SEBASTES PINNIGER",,7,"StRS"
4,"Rockfish Species",2022,86530,"Rosethorn rockfish","SEBASTES HELVOMACULATUS",,6,"StRS"
4,"Rockfish Species",2022,86530,"Bocaccio","SEBASTES PAUCISPINIS",,5,"StRS"
4,"Rockfish Species",2022,86530,"Longspine thornyhead","SEBASTOLOBUS ALTIVELIS",,1,"StRS"
4,"Rockfish Species",2022,86530,,"SEBASTES",,1,"StRS"
4,"Rockfish Species",2022,86530,"Aurora rockfish","SEBASTES AURORA",,1,"StRS"
3,"Flatfish Species",2022,86530,"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",,859,"StRS"
3,"Flatfish Species",2022,86530,"Arrowtooth flounder","ATHERESTHES STOMIAS",,165,"StRS"
3,"Flatfish Species",2022,86530,"Dover sole","MICROSTOMUS PACIFICUS",,8,"StRS"
2,"Invertebrate Species",2022,86530,"Grooved Tanner Crab","CHIONOECETES TANNERI",,165,"StRS"
2,"Invertebrate Species",2022,86530,,"ALLOCENTROTUS FRAGILIS",,51,"StRS"
2,"Invertebrate Species",2022,86530,"Oregontriton","FUSITRITON OREGONENSIS",,21,"StRS"
2,"Invertebrate Species",2022,86530,"Brown box crab","LOPHOLITHODES FORAMINATUS",,19,"StRS"
2,"Invertebrate Species",2022,86530,"Red Queen Crab","LITHODES COUESI",,10,"StRS"
2,"Invertebrate Species",2022,86530,"Giant pacific octopus","ENTEROCTOPUS DOFLEINI",,9,"StRS"
2,"Invertebrate Species",2022,86530,,"NEPTUNEA",,4,"StRS"
2,"Invertebrate Species",2022,86530,,"PARALOMIS MULTISPINA",,1,"StRS"
2,"Invertebrate Species",2022,86530,"Inshore Tanner Crab","CHIONOECETES BAIRDI",,1,"StRS"
2,"Invertebrate Species",2022,86530,"Prawn","PANDALUS PLATYCEROS",3,,"StRS"
2,"Invertebrate Species",2022,86530,"Morning sun starfish","SOLASTER DAWSONI",2,,"StRS"
2,"Invertebrate Species",2022,86530,"Sea mouse","APHRODITA",1,,"StRS"
2,"Invertebrate Species",2022,86530,"Vermillion starfish","MEDIASTER AEQUALIS",1,,"StRS"
2,"Invertebrate Species",2022,86530,"Whitespotted sea cucumber","PARASTICHOPUS LEUKOTHELE",1,,"StRS"
2,"Invertebrate Species",2022,86530,"Fish-eating star","STYLASTERIAS FORRERI",1,,"StRS"
2,"Invertebrate Species",2022,86530,"Heart urchins","ATELOSTOMATA",1,,"StRS"
2,"Invertebrate Species",2022,86530,"Gastropods","GASTROPODA",,,"StRS"
2,"Invertebrate Species",2022,86530,,"AMPHIOPHIURA PONDEROSA",,,"StRS"
2,"Invertebrate Species",2022,86530,,"CROSSASTER",,,"StRS"
2,"Invertebrate Species",2022,86530,"Sponges","PORIFERA",,,"StRS"
2,"Invertebrate Species",2022,86530,"Mud star","CTENODISCUS CRISPATUS",,,"StRS"
2,"Invertebrate Species",2022,86530,"Ophiuroidea","OPHIUROIDEA",,,"StRS"
2,"Invertebrate Species",2022,86530,"Rose starfish","CROSSASTER PAPPOSUS",,,"StRS"
